AAEC,1005,Econ Food Fiber Sys,Stephenson,10060,3,2.9,154,27.3,44.2,19.5,7.8,1.3,0
AAEC,1006,Econ Food Fiber Syst,Ellerbrock,10061,3,2.77,187,30.5,35.3,24.6,7.0,2.7,0
AAEC,3004,Agr Prod & Cons Econ,Mykerezi,10062,3,3.52,26,61.5,34.6,3.8,0.0,0.0,0
AAEC,3015,AAEC Internship,White,10063,1,4.0,14,100.0,0.0,0.0,0.0,0.0,0
AAEC,3314,Environmental Law,Geyer,10064,3,3.41,24,58.3,29.2,12.5,0.0,0.0,0
AAEC,3314,Environmental Law,Geyer,10065,3,3.19,95,44.2,36.8,15.8,2.1,1.1,0
AAEC,3404,Ag Fin Mgt,White,10066,3,3.21,130,40.0,45.4,11.5,3.1,0.0,0
AAEC,3414,"Farm, Coop, Agbus Mgt",Licher,10067,3,3.42,38,57.9,36.8,5.3,0.0,0.0,0
AAEC,3424,Food Agribus Mkt Mgt,Licher,10068,3,3.36,45,42.2,48.9,8.9,0.0,0.0,0
AAEC,3514,Ag Futures,Sink,10069,3,3.83,28,89.3,10.7,0.0,0.0,0.0,0
AAEC,4304,Env Sus Dev Econ,Stoevener,10070,3,3.4,42,38.1,57.1,4.8,0.0,0.0,0
AAEC,4314,Env Econ Analy & Mgt,Stephenson,10071,3,3.58,16,56.3,43.8,0.0,0.0,0.0,0
AAEC,4404,Ag Mgmt & Prob Solv,Sink,10072,4,3.91,49,98.0,2.0,0.0,0.0,0.0,0
AAEC,4764,Real Estate Appraisal,Geyer,10073,3,2.82,121,17.4,50.4,30.6,0.0,1.7,0
AAEC,4804,Elementary Econometrics,Kuminoff,10074,3,3.73,11,72.7,27.3,0.0,0.0,0.0,0
AAEC,5104,Research Project Plan,Bosch,10076,1,4.0,11,100.0,0.0,0.0,0.0,0.0,0
AAEC,5244,Rural Development,Mills,10078,3,3.73,11,72.7,27.3,0.0,0.0,0.0,0
AAEC,2464,Religion and Science,Ellerbrock,16162,3,3.19,70,38.6,48.6,11.4,1.4,0.0,0
AAEC,5026,Applied Microeconomics,Pope,16807,3,3.48,12,50.0,50.0,0.0,0.0,0.0,0
AAEC,4984,SS:Advanced Ag Mktg Techniques,Sink,17487,3,4.0,14,100.0,0.0,0.0,0.0,0.0,0
ACIS,5604,Accounting Fundamentals,Salbador,17033,2,3.71,22,72.7,27.3,0.0,0.0,0.0,0
ACIS,5114,Advanced Accounting,Richardson,17074,3,3.15,21,28.6,61.9,9.5,0.0,0.0,0
ACIS,2116,Principles of Accounting,Wood,17077,3,2.74,34,26.5,32.4,38.2,2.9,0.0,0
ACIS,4324,Advanced Income Tax,Bizzell,17126,3,3.51,38,55.3,36.8,7.9,0.0,0.0,0
ACIS,5364,Multi-jurisdictional Tax Cncpt,Salbador,17313,3,3.78,29,86.2,13.8,0.0,0.0,0.0,0
ACIS,5414,Auditing Theory,Jenkins,16675,3,3.94,33,100.0,0.0,0.0,0.0,0.0,0
ACIS,3215,Cost Accounting,Wood,16168,3,3.08,24,45.8,25.0,25.0,0.0,4.2,0
ACIS,2004,Survey of Accounting,Easterwood,15324,3,2.6,44,20.5,27.3,40.9,11.4,0.0,0
ACIS,3115,Intermediate Financial Acct,Brozovsky,15326,3,2.69,41,26.8,31.7,29.3,12.2,0.0,0
ACIS,3115,Intermediate Financial Acct,Brozovsky,15327,3,2.59,46,19.6,39.1,28.3,10.9,2.2,0
ACIS,3314,Tax Impact on Decisions,Cloyd,15328,3,3.39,32,46.9,46.9,6.3,0.0,0.0,0
ACIS,3314,Tax Impact on Decisions,Cloyd,15329,3,3.43,34,50.0,47.1,2.9,0.0,0.0,0
